Week #,Away Team,Away Team Points,Away Team Offense Yards,Away Team Turnovers Forced,Home Team,Home Team Points,Home Team Offense Yards,Home Team Turnovers Forced
1,Cowboys,20,307,0,Eagles,24,302,1
1,Chiefs,21,347,0,Chargers,27,394,0
1,Dolphins,8,211,0,Colts,33,418,3
1,Steelers,34,271,1,Jets,32,394,0
1,Panthers,10,255,1,Jaguars,26,378,3
1,Cardinals,20,276,0,Saints,13,315,0
1,Giants,6,231,0,Commanders,21,432,0
1,Buccaneers,23,260,0,Falcons,20,358,0
1,Bengals,17,141,2,Browns,16,327,0
1,Raiders,20,389,1,Patriots,13,336,1
1,49ers,17,384,2,Seahawks,13,230,2
1,Titans,12,133,4,Broncos,20,317,2
1,Lions,13,246,0,Packers,27,266,1
1,Texans,9,265,1,Rams,14,296,2
1,Ravens,40,432,0,Bills,41,497,1
1,Vikings,27,254,1,Bears,24,317,1
2,Commanders,18,230,0,Packers,27,404,0
2,Giants,37,506,1,Cowboys,40,478,1
2,Seahawks,31,395,2,Steelers,17,267,2
2,Rams,33,439,1,Titans,19,252,1
2,Bills,30,403,1,Jets,10,154,0
2,Patriots,33,333,1,Dolphins,27,358,0
2,Jaguars,27,400,3,Bengals,31,350,2
2,49ers,26,344,1,Saints,21,307,1
2,Browns,17,322,0,Ravens,41,242,2
2,Bears,21,339,0,Lions,52,511,2
2,Broncos,28,324,0,Colts,29,473,1
2,Panthers,22,352,1,Cardinals,27,293,2
2,Eagles,20,216,1,Chiefs,17,294,0
2,Falcons,22,326,4,Vikings,6,198,1
2,Buccaneers,20,360,0,Texans,19,266,0
2,Chargers,20,317,3,Raiders,9,218,1
3,Dolphins,21,276,0,Bills,31,360,1
3,Bengals,10,171,0,Vikings,48,352,5
3,Texans,10,271,1,Jaguars,17,291,3
3,Colts,41,365,1,Titans,20,282,0
3,Raiders,24,354,1,Commanders,41,400,0
3,Rams,26,356,1,Eagles,33,288,1
3,Falcons,0,332,1,Panthers,30,224,3
3,Steelers,21,203,5,Patriots,14,369,1
3,Packers,10,230,1,Browns,13,221,1
3,Jets,27,267,0,Buccaneers,29,347,2
3,Broncos,20,265,2,Chargers,23,376,0
3,Saints,13,284,1,Seahawks,44,320,1
3,Cowboys,14,396,0,Bears,31,385,4
3,Cardinals,15,260,1,49ers,16,355,0
3,Chiefs,22,306,2,Giants,9,281,0
3,Lions,38,426,1,Ravens,30,318,0
4,Seahawks,23,384,2,Cardinals,20,253,1
4,Vikings,21,372,0,Steelers,24,313,2
4,Commanders,27,294,1,Falcons,34,435,1
4,Chargers,18,338,0,Giants,21,250,2
4,Titans,0,175,0,Texans,26,353,1
4,Eagles,31,200,2,Buccaneers,25,376,0
4,Panthers,13,326,0,Patriots,42,307,0
4,Saints,19,298,1,Bills,31,356,1
4,Browns,10,249,1,Lions,34,277,3
4,Jaguars,26,325,4,49ers,21,389,0
4,Colts,20,333,1,Rams,27,462,3
4,Bears,25,271,4,Raiders,24,357,1
4,Ravens,20,360,0,Chiefs,37,382,2
4,Packers,40,489,0,Cowboys,40,436,1
4,Jets,21,404,0,Dolphins,27,300,3
4,Bengals,3,159,1,Broncos,28,512,0
5,49ers,26,407,2,Rams,23,456,0
5,Vikings,21,349,0,Browns,17,322,2
5,Cowboys,37,416,1,Jets,22,378,0
5,Giants,14,335,0,Saints,26,332,5
5,Raiders,6,296,0,Colts,40,317,2
5,Dolphins,24,248,2,Panthers,27,418,0
5,Broncos,21,358,0,Eagles,17,302,0
5,Texans,44,417,3,Ravens,10,207,0
5,Titans,22,327,3,Cardinals,21,360,2
5,Buccaneers,38,426,2,Seahawks,35,463,0
5,Lions,37,365,3,Bengals,24,322,1
5,Commanders,27,389,2,Chargers,10,336,1
5,Patriots,23,338,3,Bills,20,363,1
5,Chiefs,28,476,2,Jaguars,31,319,1
6,Eagles,17,339,0,Giants,34,366,2
6,Broncos,13,246,0,Jets,11,82,1
6,Seahawks,20,346,0,Jaguars,12,273,0
6,Chargers,29,403,3,Dolphins,27,341,1
6,Rams,17,241,3,Ravens,3,296,1
6,Cardinals,27,400,1,Colts,31,355,1
6,Cowboys,27,292,1,Panthers,30,410,0
6,Patriots,25,333,1,Saints,19,296,0
6,Browns,9,248,0,Steelers,23,335,0
6,Titans,10,225,1,Raiders,20,226,3
6,49ers,19,363,0,Buccaneers,30,352,2
6,Bengals,18,268,1,Packers,27,409,0
6,Lions,17,297,0,Chiefs,30,355,0
6,Bills,14,291,0,Falcons,24,443,2
6,Bears,25,386,3,Commanders,24,329,0
7,Steelers,31,396,0,Bengals,33,470,2
7,Rams,35,271,0,Jaguars,7,358,0
7,Eagles,28,361,2,Vikings,22,387,0
7,Patriots,31,387,2,Titans,13,255,0
7,Panthers,13,302,2,Jets,6,220,0
7,Dolphins,6,219,0,Browns,31,206,4
7,Saints,14,253,1,Bears,26,386,4
7,Raiders,0,95,0,Chiefs,31,434,1
7,Colts,38,401,2,Chargers,24,445,0
7,Giants,32,387,0,Broncos,33,407,1
7,Packers,27,262,1,Cardinals,23,330,0
7,Commanders,22,341,0,Cowboys,44,409,2
7,Falcons,10,292,1,49ers,20,324,1
7,Buccaneers,9,251,2,Lions,24,379,2
7,Texans,19,254,4,Seahawks,27,316,1
8,Vikings,10,164,1,Chargers,37,419,1
8,Dolphins,34,338,1,Falcons,10,213,0
8,Bears,16,372,0,Ravens,30,355,1
8,Jets,39,502,0,Bengals,38,398,0
8,Bills,40,410,3,Panthers,9,244,0
8,49ers,15,223,1,Texans,26,475,1
8,Browns,13,213,2,Patriots,32,422,2
8,Giants,20,246,0,Eagles,38,427,0
8,Buccaneers,23,212,4,Saints,3,275,1
8,Titans,14,341,0,Colts,38,420,1
8,Cowboys,24,339,1,Broncos,44,426,2
8,Packers,35,454,1,Steelers,25,295,0
8,Commanders,7,260,2,Chiefs,28,432,2
9,Ravens,28,338,3,Dolphins,6,332,0
9,49ers,34,380,0,Giants,24,296,1
